total_mb,grid,block,smem_kb,pipe,simple_slice_kb,tma_slice_kb,tma_tile_kb,reason
64,32,544,64,2,1024,2048,32,pair_slices enabled and simple_slice_kb != tma_slice_kb
64,32,544,100,2,1024,2048,50,pair_slices enabled and simple_slice_kb != tma_slice_kb
64,32,544,128,2,1024,2048,64,pair_slices enabled and simple_slice_kb != tma_slice_kb
64,32,544,200,2,1024,2048,100,pair_slices enabled and simple_slice_kb != tma_slice_kb
64,32,544,64,2,2048,1024,32,pair_slices enabled and simple_slice_kb != tma_slice_kb
64,32,544,100,2,2048,1024,50,pair_slices enabled and simple_slice_kb != tma_slice_kb
64,32,544,128,2,2048,1024,64,pair_slices enabled and simple_slice_kb != tma_slice_kb
64,32,544,200,2,2048,1024,100,pair_slices enabled and simple_slice_kb != tma_slice_kb
64,32,544,96,3,1024,2048,32,pair_slices enabled and simple_slice_kb != tma_slice_kb
64,32,544,150,3,1024,2048,50,pair_slices enabled and simple_slice_kb != tma_slice_kb
64,32,544,192,3,1024,2048,64,pair_slices enabled and simple_slice_kb != tma_slice_kb
64,32,544,300,3,1024,2048,100,pair_slices enabled and simple_slice_kb != tma_slice_kb
64,32,544,96,3,2048,1024,32,pair_slices enabled and simple_slice_kb != tma_slice_kb
64,32,544,150,3,2048,1024,50,pair_slices enabled and simple_slice_kb != tma_slice_kb
64,32,544,192,3,2048,1024,64,pair_slices enabled and simple_slice_kb != tma_slice_kb
64,32,544,300,3,2048,1024,100,pair_slices enabled and simple_slice_kb != tma_slice_kb
128,32,544,64,2,1024,2048,32,pair_slices enabled and simple_slice_kb != tma_slice_kb
128,32,544,100,2,1024,2048,50,pair_slices enabled and simple_slice_kb != tma_slice_kb
128,32,544,128,2,1024,2048,64,pair_slices enabled and simple_slice_kb != tma_slice_kb
128,32,544,200,2,1024,2048,100,pair_slices enabled and simple_slice_kb != tma_slice_kb
128,32,544,64,2,2048,1024,32,pair_slices enabled and simple_slice_kb != tma_slice_kb
128,32,544,100,2,2048,1024,50,pair_slices enabled and simple_slice_kb != tma_slice_kb
128,32,544,128,2,2048,1024,64,pair_slices enabled and simple_slice_kb != tma_slice_kb
128,32,544,200,2,2048,1024,100,pair_slices enabled and simple_slice_kb != tma_slice_kb
128,32,544,96,3,1024,2048,32,pair_slices enabled and simple_slice_kb != tma_slice_kb
128,32,544,150,3,1024,2048,50,pair_slices enabled and simple_slice_kb != tma_slice_kb
128,32,544,192,3,1024,2048,64,pair_slices enabled and simple_slice_kb != tma_slice_kb
128,32,544,300,3,1024,2048,100,pair_slices enabled and simple_slice_kb != tma_slice_kb
128,32,544,96,3,2048,1024,32,pair_slices enabled and simple_slice_kb != tma_slice_kb
128,32,544,150,3,2048,1024,50,pair_slices enabled and simple_slice_kb != tma_slice_kb
128,32,544,192,3,2048,1024,64,pair_slices enabled and simple_slice_kb != tma_slice_kb
128,32,544,300,3,2048,1024,100,pair_slices enabled and simple_slice_kb != tma_slice_kb
256,32,544,64,2,1024,2048,32,pair_slices enabled and simple_slice_kb != tma_slice_kb
256,32,544,100,2,1024,2048,50,pair_slices enabled and simple_slice_kb != tma_slice_kb
256,32,544,128,2,1024,2048,64,pair_slices enabled and simple_slice_kb != tma_slice_kb
256,32,544,200,2,1024,2048,100,pair_slices enabled and simple_slice_kb != tma_slice_kb
256,32,544,64,2,2048,1024,32,pair_slices enabled and simple_slice_kb != tma_slice_kb
256,32,544,100,2,2048,1024,50,pair_slices enabled and simple_slice_kb != tma_slice_kb
256,32,544,128,2,2048,1024,64,pair_slices enabled and simple_slice_kb != tma_slice_kb
256,32,544,200,2,2048,1024,100,pair_slices enabled and simple_slice_kb != tma_slice_kb
256,32,544,96,3,1024,2048,32,pair_slices enabled and simple_slice_kb != tma_slice_kb
256,32,544,150,3,1024,2048,50,pair_slices enabled and simple_slice_kb != tma_slice_kb
256,32,544,192,3,1024,2048,64,pair_slices enabled and simple_slice_kb != tma_slice_kb
256,32,544,300,3,1024,2048,100,pair_slices enabled and simple_slice_kb != tma_slice_kb
256,32,544,96,3,2048,1024,32,pair_slices enabled and simple_slice_kb != tma_slice_kb
256,32,544,150,3,2048,1024,50,pair_slices enabled and simple_slice_kb != tma_slice_kb
256,32,544,192,3,2048,1024,64,pair_slices enabled and simple_slice_kb != tma_slice_kb
256,32,544,300,3,2048,1024,100,pair_slices enabled and simple_slice_kb != tma_slice_kb
512,32,544,64,2,1024,2048,32,pair_slices enabled and simple_slice_kb != tma_slice_kb
512,32,544,100,2,1024,2048,50,pair_slices enabled and simple_slice_kb != tma_slice_kb
512,32,544,128,2,1024,2048,64,pair_slices enabled and simple_slice_kb != tma_slice_kb
512,32,544,200,2,1024,2048,100,pair_slices enabled and simple_slice_kb != tma_slice_kb
512,32,544,64,2,2048,1024,32,pair_slices enabled and simple_slice_kb != tma_slice_kb
512,32,544,100,2,2048,1024,50,pair_slices enabled and simple_slice_kb != tma_slice_kb
512,32,544,128,2,2048,1024,64,pair_slices enabled and simple_slice_kb != tma_slice_kb
512,32,544,200,2,2048,1024,100,pair_slices enabled and simple_slice_kb != tma_slice_kb
512,32,544,96,3,1024,2048,32,pair_slices enabled and simple_slice_kb != tma_slice_kb
512,32,544,150,3,1024,2048,50,pair_slices enabled and simple_slice_kb != tma_slice_kb
512,32,544,192,3,1024,2048,64,pair_slices enabled and simple_slice_kb != tma_slice_kb
512,32,544,300,3,1024,2048,100,pair_slices enabled and simple_slice_kb != tma_slice_kb
512,32,544,96,3,2048,1024,32,pair_slices enabled and simple_slice_kb != tma_slice_kb
512,32,544,150,3,2048,1024,50,pair_slices enabled and simple_slice_kb != tma_slice_kb
512,32,544,192,3,2048,1024,64,pair_slices enabled and simple_slice_kb != tma_slice_kb
512,32,544,300,3,2048,1024,100,pair_slices enabled and simple_slice_kb != tma_slice_kb
